# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
溃	U+6E83	simplified	潰	
溅	U+6E85	simplified	濺	
溆	U+6E86	simplified	漵	
滗	U+6ED7	simplified	潷	
滚	U+6EDA	simplified	滾	
滞	U+6EDE	simplified	滯	
滟	U+6EDF	simplified	灧	
滠	U+6EE0	simplified	灄	
满	U+6EE1	simplified	滿	
滢	U+6EE2	simplified	瀅	
滤	U+6EE4	simplified	濾	
滥	U+6EE5	simplified	濫	
滦	U+6EE6	simplified	灤	
滨	U+6EE8	simplified	濱	
滩	U+6EE9	simplified	灘	
漓	U+6F13	simplified	灕	
潆	U+6F46	simplified	瀠	
潇	U+6F47	simplified	瀟	
潋	U+6F4B	simplified	瀲	
潍	U+6F4D	simplified	濰	
潜	U+6F5C	simplified	潛	
潴	U+6F74	simplified	瀦	
澜	U+6F9C	simplified	瀾	
濑	U+6FD1	simplified	瀨	
濒	U+6FD2	simplified	瀕	
灏	U+704F	simplified	灝	
灭	U+706D	simplified	滅	
灯	U+706F	simplified	燈	
灵	U+7075	simplified	靈	
灶	U+7076	simplified	竈	
灾	U+707E	simplified	災	
灿	U+707F	simplified	燦	
炀	U+7080	simplified	煬	
炉	U+7089	simplified	爐	
炜	U+709C	simplified	煒	
炝	U+709D	simplified	熗	
点	U+70B9	simplified	點	
炼	U+70BC	simplified	煉	
炽	U+70BD	simplified	熾	
烁	U+70C1	simplified	爍	
烂	U+70C2	simplified	爛	
烃	U+70C3	simplified	烴	
烛	U+70DB	simplified	燭	
烟	U+70DF	simplified	煙	
烦	U+70E6	simplified	煩	
烧	U+70E7	simplified	燒	
烨	U+70E8	simplified	燁	
烩	U+70E9	simplified	燴	
烫	U+70EB	simplified	燙	
烬	U+70EC	simplified	燼	
热	U+70ED	simplified	熱	
焕	U+7115	simplified	煥	
焖	U+7116	simplified	燜	
焘	U+7118	simplified	燾	
爱	U+7231	simplified	愛	
爷	U+7237	simplified	爺	
牍	U+724D	simplified	牘	
牦	U+7266	simplified	氂	
牵	U+7275	simplified	牽	
牺	U+727A	simplified	犧	
犊	U+728A	simplified	犢	
状	U+72B6	simplified	狀	
犷	U+72B7	simplified	獷	
犸	U+72B8	simplified	獁	
犹	U+72B9	simplified	猶	
狈	U+72C8	simplified	狽	
狞	U+72DE	simplified	獰	
独	U+72EC	simplified	獨	
狭	U+72ED	simplified	狹	
狮	U+72EE	simplified	獅	
狯	U+72EF	simplified	獪	
狰	U+72F0	simplified	猙	
狱	U+72F1	simplified	獄	
狲	U+72F2	simplified	猻	
猃	U+7303	simplified	獫	
猎	U+730E	simplified	獵	
猕	U+7315	simplified	獼	
猡	U+7321	simplified	玀	
猪	U+732A	simplified	豬	
猫	U+732B	simplified	貓	
猬	U+732C	simplified	蝟	
献	U+732E	simplified	獻	
獭	U+736D	simplified	獺	
玑	U+7391	simplified	璣	
玛	U+739B	simplified	瑪	
玮	U+73AE	simplified	瑋	
环	U+73AF	simplified	環	
现	U+73B0	simplified	現	
玺	U+73BA	simplified	璽	
珐	U+73D0	simplified	琺	
珑	U+73D1	simplified	瓏	
珲	U+73F2	simplified	琿	
琏	U+740F	simplified	璉	
琐	U+7410	simplified	瑣	
琼	U+743C	simplified	瓊	
瑶	U+7476	simplified	瑤	
瑷	U+7477	simplified	璦	
璎	U+748E	simplified	瓔	
瓒	U+74D2	simplified	瓚	
瓯	U+74EF	simplified	甌	
电	U+7535	simplified	電	
画	U+753B	simplified	畫	
畅	U+7545	simplified	暢	
畴	U+7574	simplified	疇	
疖	U+7596	simplified	癤	
疗	U+7597	simplified	療	
疟	U+759F	simplified	瘧	
疠	U+75A0	simplified	癘	
疡	U+75A1	simplified	瘍	
疬	U+75AC	simplified	癧	
疭	U+75AD	simplified	瘲	
疮	U+75AE	simplified	瘡	
疯	U+75AF	simplified	瘋	
疱	U+75B1	simplified	皰	
疴	U+75B4	simplified	痾	
症	U+75C7	simplified	癥	
痈	U+75C8	simplified	癰	
痉	U+75C9	simplified	痙	
痒	U+75D2	simplified	癢	
痖	U+75D6	simplified	瘂	
痨	U+75E8	simplified	癆	
痪	U+75EA	simplified	瘓	
痫	U+75EB	simplified	癇	
瘅	U+7605	simplified	癉	
瘗	U+7617	simplified	瘞	
瘘	U+7618	simplified	瘺瘻	
瘪	U+762A	simplified	癟	
瘫	U+762B	simplified	癱	
瘾	U+763E	simplified	癮	
瘿	U+763F	simplified	癭	
癞	U+765E	simplified	癩	
癣	U+7663	simplified	癬	
癫	U+766B	simplified	癲	
皑	U+7691	simplified	皚	
皱	U+76B1	simplified	皺	
皲	U+76B2	simplified	皸	
盏	U+76CF	simplified	盞	
盐	U+76D0	simplified	鹽	
监	U+76D1	simplified	監	
盖	U+76D6	simplified	蓋	
盗	U+76D7	simplified	盜	
盘	U+76D8	simplified	盤	
眍	U+770D	simplified	瞘	
眦	U+7726	simplified	眥	
眬	U+772C	simplified	矓	
着	U+7740	simplified	著	
睁	U+7741	simplified	睜	
睐	U+7750	simplified	睞	
睑	U+7751	simplified	瞼	
瞒	U+7792	simplified	瞞	
瞩	U+77A9	simplified	矚	
矫	U+77EB	simplified	矯	
矶	U+77F6	simplified	磯	
矾	U+77FE	simplified	礬	
矿	U+77FF	simplified	礦	
砀	U+7800	simplified	碭	
码	U+7801	simplified	碼	
砖	U+7816	simplified	磚	
砗	U+7817	simplified	硨	
砚	U+781A	simplified	硯	
砜	U+781C	simplified	碸	
砺	U+783A	simplified	礪	
砻	U+783B	simplified	礱	
砾	U+783E	simplified	礫	
础	U+7840	simplified	礎	
硕	U+7855	simplified	碩	
硖	U+7856	simplified	硤	
硗	U+7857	simplified	磽	
硙	U+7859	simplified	磑	
确	U+786E	simplified	確	
硷	U+7877	simplified	礆鹼	
碍	U+788D	simplified	礙	
碛	U+789B	simplified	磧	
碜	U+789C	simplified	磣	
礼	U+793C	simplified	禮	
祎	U+794E	simplified	禕	
祢	U+7962	simplified	禰	
祯	U+796F	simplified	禎	
祷	U+7977	simplified	禱	
祸	U+7978	simplified	禍	
禀	U+7980	simplified	稟	
禄	U+7984	simplified	祿	
禅	U+7985	simplified	禪	
离	U+79BB	simplified	離	
秃	U+79C3	simplified	禿	
秆	U+79C6	simplified	稈	
秋	U+79CB	simplified	鞦	
种	U+79CD	simplified	種	
积	U+79EF	simplified	積	
称	U+79F0	simplified	稱	
秽	U+79FD	simplified	穢	
稆	U+7A06	simplified	穭	
税	U+7A0E	simplified	稅	
稣	U+7A23	simplified	穌	
稳	U+7A33	simplified	穩	
穑	U+7A51	simplified	穡	
穷	U+7A77	simplified	窮	
窃	U+7A83	simplified	竊	
窍	U+7A8D	simplified	竅	
窑	U+7A91	simplified	窯	
窜	U+7A9C	simplified	竄	
窝	U+7A9D	simplified	窩	
窥	U+7AA5	simplified	窺	
窦	U+7AA6	simplified	竇	
窭	U+7AAD	simplified	窶	
竖	U+7AD6	simplified	竪豎	
竞	U+7ADE	simplified	競	
笃	U+7B03	simplified	篤	
笋	U+7B0B	simplified	筍	
笔	U+7B14	simplified	筆	
笕	U+7B15	simplified	筧	
笺	U+7B3A	simplified	箋	
笼	U+7B3C	simplified	籠	
笾	U+7B3E	simplified	籩	
筑	U+7B51	simplified	築	
筚	U+7B5A	simplified	篳	
筛	U+7B5B	simplified	篩	
筜	U+7B5C	simplified	簹	
筝	U+7B5D	simplified	箏	
筹	U+7B79	simplified	籌	
筼	U+7B7C	simplified	篔	
签	U+7B7E	simplified	簽籤	
简	U+7B80	simplified	簡	
箓	U+7B93	simplified	籙	
箦	U+7BA6	simplified	簀	
箧	U+7BA7	simplified	篋	
箨	U+7BA8	simplified	籜	
箩	U+7BA9	simplified	籮	
箪	U+7BAA	simplified	簞	
箫	U+7BAB	simplified	簫	
篑	U+7BD1	simplified	簣	
篓	U+7BD3	simplified	簍	
篮	U+7BEE	simplified	籃	
篱	U+7BF1	simplified	籬	
簖	U+7C16	simplified	籪	
籁	U+7C41	simplified	籟	
籴	U+7C74	simplified	糴	
类	U+7C7B	simplified	類	
籼	U+7C7C	simplified	秈	
粜	U+7C9C	simplified	糶	
粝	U+7C9D	simplified	糲	
粤	U+7CA4	simplified	粵	
粪	U+7CAA	simplified	糞	
粮	U+7CAE	simplified	糧	
糁	U+7CC1	simplified	糝	
糇	U+7CC7	simplified	餱	
系	U+7CFB	simplified	係繫	
紧	U+7D27	simplified	緊	
累	U+7D2F	simplified	纍	
絷	U+7D77	simplified	縶	
纟	U+7E9F	simplified	糹	
纠	U+7EA0	simplified	糾	
纡	U+7EA1	simplified	紆	
红	U+7EA2	simplified	紅	
纣	U+7EA3	simplified	紂	
纤	U+7EA4	simplified	縴纖	
纥	U+7EA5	simplified	紇	
约	U+7EA6	simplified	約	
级	U+7EA7	simplified	級	
纨	U+7EA8	simplified	紈	
纩	U+7EA9	simplified	纊	
纪	U+7EAA	simplified	紀	
纫	U+7EAB	simplified	紉	
纬	U+7EAC	simplified	緯	
纭	U+7EAD	simplified	紜	
纯	U+7EAF	simplified	純	
纰	U+7EB0	simplified	紕	
纱	U+7EB1	simplified	紗	
纲	U+7EB2	simplified	綱	
纳	U+7EB3	simplified	納	
纴	U+7EB4	simplified	紝	
纵	U+7EB5	simplified	縱	
纶	U+7EB6	simplified	綸	
纷	U+7EB7	simplified	紛	
纸	U+7EB8	simplified	紙	
纹	U+7EB9	simplified	紋	
纺	U+7EBA	simplified	紡	
纽	U+7EBD	simplified	紐	
纾	U+7EBE	simplified	紓	
线	U+7EBF	simplified	綫線	
绀	U+7EC0	simplified	紺	
绁	U+7EC1	simplified	紲	
绂	U+7EC2	simplified	紱	
练	U+7EC3	simplified	練	
组	U+7EC4	simplified	組	
绅	U+7EC5	simplified	紳	
细	U+7EC6	simplified	細	
织	U+7EC7	simplified	織	
终	U+7EC8	simplified	終	
绉	U+7EC9	simplified	縐	
绊	U+7ECA	simplified	絆	
绋	U+7ECB	simplified	紼	
绌	U+7ECC	simplified	絀	
绍	U+7ECD	simplified	紹	
绎	U+7ECE	simplified	繹	
经	U+7ECF	simplified	經	
绐	U+7ED0	simplified	紿	
绑	U+7ED1	simplified	綁	
绒	U+7ED2	simplified	絨	
结	U+7ED3	simplified	結	
绔	U+7ED4	simplified	絝	
绕	U+7ED5	simplified	繞	
绗	U+7ED7	simplified	絎	
绘	U+7ED8	simplified	繪	
给	U+7ED9	simplified	給	
绚	U+7EDA	simplified	絢	
绛	U+7EDB	simplified	絳	
络	U+7EDC	simplified	絡	
绝	U+7EDD	simplified	絕絶	
绞	U+7EDE	simplified	絞	
统	U+7EDF	simplified	統	
绠	U+7EE0	simplified	綆	
绡	U+7EE1	simplified	綃	
绢	U+7EE2	simplified	絹	
绣	U+7EE3	simplified	綉繡	
绥	U+7EE5	simplified	綏	
绦	U+7EE6	simplified	絛縧	
继	U+7EE7	simplified	繼	
绨	U+7EE8	simplified	綈	
绩	U+7EE9	simplified	績	
绪	U+7EEA	simplified	緒	
绫	U+7EEB	simplified	綾	
续	U+7EED	simplified	續	
绮	U+7EEE	simplified	綺	
绯	U+7EEF	simplified	緋	
绰	U+7EF0	simplified	綽	
绱	U+7EF1	simplified	緔鞝	
绲	U+7EF2	simplified	緄	
绳	U+7EF3	simplified	繩	
维	U+7EF4	simplified	維	
绵	U+7EF5	simplified	綿	
绶	U+7EF6	simplified	綬	
绷	U+7EF7	simplified	綳繃	
绸	U+7EF8	simplified	綢	
绺	U+7EFA	simplified	綹	
绻	U+7EFB	simplified	綣	
综	U+7EFC	simplified	綜	
绽	U+7EFD	simplified	綻	
绾	U+7EFE	simplified	綰	
绿	U+7EFF	simplified	綠緑	
缀	U+7F00	simplified	綴	
缁	U+7F01	simplified	緇	
缂	U+7F02	simplified	緙	
缃	U+7F03	simplified	緗	
缄	U+7F04	simplified	緘	
缅	U+7F05	simplified	緬	
缆	U+7F06	simplified	纜	
缇	U+7F07	simplified	緹	
缈	U+7F08	simplified	緲	
缉	U+7F09	simplified	緝	
缊	U+7F0A	simplified	緼縕	
缋	U+7F0B	simplified	繢	
缌	U+7F0C	simplified	緦	
缍	U+7F0D	simplified	綞	
缎	U+7F0E	simplified	緞	
缏	U+7F0F	simplified	緶	
缑	U+7F11	simplified	緱	
缒	U+7F12	simplified	縋	
缓	U+7F13	simplified	緩	
缔	U+7F14	simplified	締	
缕	U+7F15	simplified	縷	
编	U+7F16	simplified	編	
缗	U+7F17	simplified	緡	
缘	U+7F18	simplified	緣	
缙	U+7F19	simplified	縉	
缚	U+7F1A	simplified	縛	
缛	U+7F1B	simplified	縟	
缜	U+7F1C	simplified	縝	
缝	U+7F1D	simplified	縫	
缟	U+7F1F	simplified	縞	
缠	U+7F20	simplified	纏	
缡	U+7F21	simplified	縭	
缢	U+7F22	simplified	縊	
缣	U+7F23	simplified	縑	
缤	U+7F24	simplified	繽	
缥	U+7F25	simplified	縹	
缦	U+7F26	simplified	縵	
缧	U+7F27	simplified	縲	
缨	U+7F28	simplified	纓	
缩	U+7F29	simplified	縮	
缪	U+7F2A	simplified	繆	
缫	U+7F2B	simplified	繅	
缬	U+7F2C	simplified	纈	
缭	U+7F2D	simplified	繚	
缮	U+7F2E	simplified	繕	
缯	U+7F2F	simplified	繒	
缰	U+7F30	simplified	繮韁	
缱	U+7F31	simplified	繾	
缲	U+7F32	simplified	繰	
缳	U+7F33	simplified	繯	
缴	U+7F34	simplified	繳	
缵	U+7F35	simplified	纘	
罂	U+7F42	simplified	罌	
网	U+7F51	simplified	網	
罗	U+7F57	simplified	羅	
罚	U+7F5A	simplified	罰	
罢	U+7F62	simplified	罷	
罴	U+7F74	simplified	羆	
羁	U+7F81	simplified	羈	
羟	U+7F9F	simplified	羥	
翘	U+7FD8	simplified	翹	
耢	U+8022	simplified	耮	
耧	U+8027	simplified	耬	
耸	U+8038	simplified	聳	
耻	U+803B	simplified	恥	
聂	U+8042	simplified	聶	
聋	U+804B	simplified	聾	
职	U+804C	simplified	職	
聍	U+804D	simplified	聹	
联	U+8054	simplified	聯	
聩	U+8069	simplified	聵	
聪	U+806A	simplified	聰	
肃	U+8083	simplified	肅	
肠	U+80A0	simplified	腸	
肤	U+80A4	simplified	膚	
肮	U+80AE	simplified	骯	
肴	U+80B4	simplified	餚	
肾	U+80BE	simplified	腎	
肿	U+80BF	simplified	腫	
胀	U+80C0	simplified	脹	
胁	U+80C1	simplified	脅	
胆	U+80C6	simplified	膽	
胜	U+80DC	simplified	勝	
胡	U+80E1	simplified	衚鬍	
胧	U+80E7	simplified	朧	
胨	U+80E8	simplified	腖	
胪	U+80EA	simplified	臚	
胫	U+80EB	simplified	脛	
胶	U+80F6	simplified	膠	
脉	U+8109	simplified	脈	
脍	U+810D	simplified	膾	
脏	U+810F	simplified	臟髒	
脐	U+8110	simplified	臍	
脑	U+8111	simplified	腦	
脓	U+8113	simplified	膿	
脔	U+8114	simplified	臠	
脚	U+811A	simplified	腳	
脱	U+8131	simplified	脫	
脶	U+8136	simplified	腡	
脸	U+8138	simplified	臉	
腊	U+814A	simplified	臘	
腭	U+816D	simplified	齶	
腻	U+817B	simplified	膩	
腽	U+817D	simplified	膃	
腾	U+817E	simplified	騰	
膑	U+8191	simplified	臏	
臜	U+81DC	simplified	臢	
致	U+81F4	simplified	緻	
舆	U+8206	simplified	輿	
舍	U+820D	simplified	捨	
舣	U+8223	simplified	艤	
舰	U+8230	simplified	艦	
舱	U+8231	simplified	艙	
舻	U+823B	simplified	艫	
艰	U+8270	simplified	艱	
艳	U+8273	simplified	艷	
艺	U+827A	simplified	藝	
节	U+8282	simplified	節	
芈	U+8288	simplified	羋	
芗	U+8297	simplified	薌	
芜	U+829C	simplified	蕪	
芦	U+82A6	simplified	蘆	
芸	U+82B8	simplified	蕓	
苁	U+82C1	simplified	蓯	
苇	U+82C7	simplified	葦	
苈	U+82C8	simplified	藶	
苋	U+82CB	simplified	莧	
苌	U+82CC	simplified	萇	
苍	U+82CD	simplified	蒼	
苎	U+82CE	simplified	苧	
苏	U+82CF	simplified	囌蘇	
苹	U+82F9	simplified	蘋	
范	U+8303	simplified	範	
茎	U+830E	simplified	莖	
茏	U+830F	simplified	蘢	
茑	U+8311	simplified	蔦	
茔	U+8314	simplified	塋	
茕	U+8315	simplified	煢	
茧	U+8327	simplified	繭	
荆	U+8346	simplified	荊	
荐	U+8350	simplified	薦	
荚	U+835A	simplified	莢	
荛	U+835B	simplified	蕘	
荜	U+835C	simplified	蓽	
荞	U+835E	simplified	蕎	
荟	U+835F	simplified	薈	
荠	U+8360	simplified	薺	
荡	U+8361	simplified	盪蕩	
荣	U+8363	simplified	榮	
荤	U+8364	simplified	葷	
荥	U+8365	simplified	滎	
荦	U+8366	simplified	犖	
荧	U+8367	simplified	熒	
荨	U+8368	simplified	蕁	
荩	U+8369	simplified	藎	
荪	U+836A	simplified	蓀	
荫	U+836B	simplified	蔭	
荬	U+836C	simplified	蕒	
荭	U+836D	simplified	葒	
荮	U+836E	simplified	葤	
药	U+836F	simplified	葯藥	
莅	U+8385	simplified	蒞	
莱	U+83B1	simplified	萊	
莲	U+83B2	simplified	蓮	
莳	U+83B3	simplified	蒔	
莴	U+83B4	simplified	萵	
莶	U+83B6	simplified	薟	
获	U+83B7	simplified	獲穫	
莸	U+83B8	simplified	蕕	
莹	U+83B9	simplified	瑩	
莺	U+83BA	simplified	鶯	
莼	U+83BC	simplified	蒓蓴	
萝	U+841D	simplified	蘿	
萤	U+8424	simplified	螢	
营	U+8425	simplified	營	
萦	U+8426	simplified	縈	
萧	U+8427	simplified	蕭	
萨	U+8428	simplified	薩	
葱	U+8471	simplified	蔥	
蒇	U+8487	simplified	蕆	
蒉	U+8489	simplified	蕢	
蒋	U+848B	simplified	蔣	
蒌	U+848C	simplified	蔞	
蓝	U+84DD	simplified	藍	
蓟	U+84DF	simplified	薊	
蓠	U+84E0	simplified	蘺	
蓣	U+84E3	simplified	蕷	
蓥	U+84E5	simplified	鎣	
蓦	U+84E6	simplified	驀	
蔑	U+8511	simplified	衊	
蔷	U+8537	simplified	薔	
蔹	U+8539	simplified	蘞	
蔺	U+853A	simplified	藺	
蔼	U+853C	simplified	藹	
蕲	U+8572	simplified	蘄	
蕴	U+8574	simplified	藴蘊	
薮	U+85AE	simplified	藪	
藓	U+85D3	simplified	蘚	
蘖	U+8616	simplified	櫱	
虏	U+864F	simplified	虜	
虑	U+8651	simplified	慮	
虚	U+865A	simplified	虛	
虫	U+866B	simplified	蟲	
虬	U+866C	simplified	虯	
虮	U+866E	simplified	蟣	
虽	U+867D	simplified	雖	
虾	U+867E	simplified	蝦	
虿	U+867F	simplified	蠆	
蚀	U+8680	simplified	蝕	
蚁	U+8681	simplified	蟻	
蚂	U+8682	simplified	螞	
蚕	U+8695	simplified	蠶	
蚬	U+86AC	simplified	蜆	
蛊	U+86CA	simplified	蠱	
蛎	U+86CE	simplified	蠣	
蛏	U+86CF	simplified	蟶	
蛮	U+86EE	simplified	蠻	
蛰	U+86F0	simplified	蟄	
蛱	U+86F1	simplified	蛺	
蛲	U+86F2	simplified	蟯	
蛳	U+86F3	simplified	螄	
蛴	U+86F4	simplified	蠐	
蜕	U+8715	simplified	蛻	
蜗	U+8717	simplified	蝸	
蜡	U+8721	simplified	蠟	
蝇	U+8747	simplified	蠅	
蝈	U+8748	simplified	蟈	
蝉	U+8749	simplified	蟬	
蝼	U+877C	simplified	螻	
蝾	U+877E	simplified	蠑	
螨	U+87A8	simplified	蟎	
蟏	U+87CF	simplified	蠨	
衅	U+8845	simplified	釁	
衔	U+8854	simplified	銜	
补	U+8865	simplified	補	
表	U+8868	simplified	錶	
衬	U+886C	simplified	襯	
衮	U+886E	simplified	袞	
袄	U+8884	simplified	襖	
袅	U+8885	simplified	裊	
袜	U+889C	simplified	襪	
袭	U+88AD	simplified	襲	
袯	U+88AF	simplified	襏	
装	U+88C5	simplified	裝	
裆	U+88C6	simplified	襠	
裢	U+88E2	simplified	褳	
裣	U+88E3	simplified	襝	
裤	U+88E4	simplified	褲	
裥	U+88E5	simplified	襇	
褛	U+891B	simplified	褸	
褴	U+8934	simplified	襤	
见	U+89C1	simplified	見	
观	U+89C2	simplified	觀	
规	U+89C4	simplified	規	
觅	U+89C5	simplified	覓	
视	U+89C6	simplified	視	
觇	U+89C7	simplified	覘	
览	U+89C8	simplified	覽	
觉	U+89C9	simplified	覺	
觊	U+89CA	simplified	覬	
觋	U+89CB	simplified	覡	
觌	U+89CC	simplified	覿	
觎	U+89CE	simplified	覦	
觏	U+89CF	simplified	覯	
觐	U+89D0	simplified	覲	
觑	U+89D1	simplified	覷	
觞	U+89DE	simplified	觴	
触	U+89E6	simplified	觸	
觯	U+89EF	simplified	觶	
訚	U+8A1A	simplified	誾	
誉	U+8A89	simplified	譽	
誊	U+8A8A	simplified	謄	
讠	U+8BA0	simplified	訁	
计	U+8BA1	simplified	計	
订	U+8BA2	simplified	訂	
讣	U+8BA3	simplified	訃	
认	U+8BA4	simplified	認	
讥	U+8BA5	simplified	譏	
讦	U+8BA6	simplified	訐	
讧	U+8BA7	simplified	訌	
讨	U+8BA8	simplified	討	
让	U+8BA9	simplified	讓	
讪	U+8BAA	simplified	訕	
讫	U+8BAB	simplified	訖	
讬	U+8BAC	simplified	託	
训	U+8BAD	simplified	訓	
议	U+8BAE	simplified	議	
讯	U+8BAF	simplified	訊	
记	U+8BB0	simplified	記	
讲	U+8BB2	simplified	講	
讳	U+8BB3	simplified	諱	
讴	U+8BB4	simplified	謳	
讵	U+8BB5	simplified	詎	
讶	U+8BB6	simplified	訝	
讷	U+8BB7	simplified	訥	
许	U+8BB8	simplified	許	
讹	U+8BB9	simplified	訛	
论	U+8BBA	simplified	論	
讼	U+8BBC	simplified	訟	
讽	U+8BBD	simplified	諷	
设	U+8BBE	simplified	設	
访	U+8BBF	simplified	訪	
诀	U+8BC0	simplified	訣	
证	U+8BC1	simplified	證	
诂	U+8BC2	simplified	詁	
诃	U+8BC3	simplified	訶	
评	U+8BC4	simplified	評	
诅	U+8BC5	simplified	詛	
识	U+8BC6	simplified	識	
诈	U+8BC8	simplified	詐	
诉	U+8BC9	simplified	訴	
诊	U+8BCA	simplified	診	
诋	U+8BCB	simplified	詆	
诌	U+8BCC	simplified	謅	
词	U+8BCD	simplified	詞	
诎	U+8BCE	simplified	詘	
诏	U+8BCF	simplified	詔	
译	U+8BD1	simplified	譯	
诒	U+8BD2	simplified	詒	
诓	U+8BD3	simplified	誆	
诔	U+8BD4	simplified	誄	
试	U+8BD5	simplified	試	
诖	U+8BD6	simplified	詿	
诗	U+8BD7	simplified	詩	
诘	U+8BD8	simplified	詰	
诙	U+8BD9	simplified	詼	
诚	U+8BDA	simplified	誠	
诛	U+8BDB	simplified	誅	
诜	U+8BDC	simplified	詵	
话	U+8BDD	simplified	話	
诞	U+8BDE	simplified	誕	
诟	U+8BDF	simplified	詬	
诠	U+8BE0	simplified	詮	
诡	U+8BE1	simplified	詭	
询	U+8BE2	simplified	詢	
诣	U+8BE3	simplified	詣	
诤	U+8BE4	simplified	諍	
该	U+8BE5	simplified	該	
详	U+8BE6	simplified	詳	
诧	U+8BE7	simplified	詫	
诨	U+8BE8	simplified	諢	
诩	U+8BE9	simplified	詡	
诫	U+8BEB	simplified	誡	
诬	U+8BEC	simplified	誣	
语	U+8BED	simplified	語	
诮	U+8BEE	simplified	誚	
误	U+8BEF	simplified	誤	
诰	U+8BF0	simplified	誥	
诱	U+8BF1	simplified	誘	
诲	U+8BF2	simplified	誨	
诳	U+8BF3	simplified	誑	
说	U+8BF4	simplified	說説	
诵	U+8BF5	simplified	誦	
诶	U+8BF6	simplified	誒	
请	U+8BF7	simplified	請	
诸	U+8BF8	simplified	諸	
诹	U+8BF9	simplified	諏	
诺	U+8BFA	simplified	諾	
读	U+8BFB	simplified	讀	
诼	U+8BFC	simplified	諑	
诽	U+8BFD	simplified	誹	
课	U+8BFE	simplified	課	
诿	U+8BFF	simplified	諉	
谀	U+8C00	simplified	諛	
谁	U+8C01	simplified	誰	
谂	U+8C02	simplified	諗	
调	U+8C03	simplified	調	
谄	U+8C04	simplified	諂	
谅	U+8C05	simplified	諒	
谆	U+8C06	simplified	諄	
谇	U+8C07	simplified	誶	
谈	U+8C08	simplified	談	
谊	U+8C0A	simplified	誼	
谋	U+8C0B	simplified	謀	
谌	U+8C0C	simplified	諶	
谍	U+8C0D	simplified	諜	
谎	U+8C0E	simplified	謊	
谏	U+8C0F	simplified	諫	
谐	U+8C10	simplified	諧	
谑	U+8C11	simplified	謔	
谒	U+8C12	simplified	謁	
谓	U+8C13	simplified	謂	
谔	U+8C14	simplified	諤	
谕	U+8C15	simplified	諭	
谖	U+8C16	simplified	諼	
谗	U+8C17	simplified	讒	
谘	U+8C18	simplified	諮	
谙	U+8C19	simplified	諳	
谚	U+8C1A	simplified	諺	
谛	U+8C1B	simplified	諦	
谜	U+8C1C	simplified	謎	
谝	U+8C1D	simplified	諞	
谟	U+8C1F	simplified	謨	
谠	U+8C20	simplified	讜	
谡	U+8C21	simplified	謖	
谢	U+8C22	simplified	謝	
谣	U+8C23	simplified	謠謡	
谤	U+8C24	simplified	謗	
谥	U+8C25	simplified	謚	
谦	U+8C26	simplified	謙	
谧	U+8C27	simplified	謐	
谨	U+8C28	simplified	謹	
谩	U+8C29	simplified	謾	
谪	U+8C2A	simplified	謫	
谫	U+8C2B	simplified	謭譾	
谬	U+8C2C	simplified	謬	
谭	U+8C2D	simplified	譚	
谮	U+8C2E	simplified	譖	
谯	U+8C2F	simplified	譙	
谰	U+8C30	simplified	讕	
谱	U+8C31	simplified	譜	
谲	U+8C32	simplified	譎	
谳	U+8C33	simplified	讞	
谴	U+8C34	simplified	譴	
谵	U+8C35	simplified	譫	
谶	U+8C36	simplified	讖	
谷	U+8C37	simplified	穀	
贝	U+8D1D	simplified	貝	
贞	U+8D1E	simplified	貞	
负	U+8D1F	simplified	負	
贡	U+8D21	simplified	貢	
财	U+8D22	simplified	財	
责	U+8D23	simplified	責	
贤	U+8D24	simplified	賢	
败	U+8D25	simplified	敗	
账	U+8D26	simplified	賬	
货	U+8D27	simplified	貨	
质	U+8D28	simplified	質	
贩	U+8D29	simplified	販	
贪	U+8D2A	simplified	貪	
贫	U+8D2B	simplified	貧	
贬	U+8D2C	simplified	貶	
购	U+8D2D	simplified	購	
贮	U+8D2E	simplified	貯	
贯	U+8D2F	simplified	貫	
贰	U+8D30	simplified	貳	
贱	U+8D31	simplified	賤	
贲	U+8D32	simplified	賁	
贳	U+8D33	simplified	貰	
贴	U+8D34	simplified	貼	
贵	U+8D35	simplified	貴	
贶	U+8D36	simplified	貺	
贷	U+8D37	simplified	貸	
贸	U+8D38	simplified	貿	
费	U+8D39	simplified	費	
贺	U+8D3A	simplified	賀	
贻	U+8D3B	simplified	貽	
贼	U+8D3C	simplified	賊	
贽	U+8D3D	simplified	贄	
贾	U+8D3E	simplified	賈	
贿	U+8D3F	simplified	賄	
赀	U+8D40	simplified	貲	
赁	U+8D41	simplified	賃	
赂	U+8D42	simplified	賂	
赃	U+8D43	simplified	贓贜	
资	U+8D44	simplified	資	
赅	U+8D45	simplified	賅	
赆	U+8D46	simplified	贐	
赇	U+8D47	simplified	賕	
赈	U+8D48	simplified	賑	
赉	U+8D49	simplified	賚	
赊	U+8D4A	simplified	賒	
赋	U+8D4B	simplified	賦	
