# Source of truth for which script a glyph belongs to.
# script: simplified  = has a distinct traditional counterpart (国 <- 國)
#         traditional = has a distinct simplified counterpart  (國 -> 国)
# Anything absent from this file is `both` — unchanged between the scripts (人, 大, 一),
# which is the majority of the dictionary.
#
# counterpart is informational: the opposite-script form(s) Unihan records.
# Generated by scripts/build-script-classification.mjs — do not hand-edit; add an
# OVERRIDE there instead so a regeneration keeps the decision.
glyph	codepoint	script	counterpart	override
厍	U+538D	simplified	厙	
厕	U+5395	simplified	厠廁	
厘	U+5398	simplified	釐	
厢	U+53A2	simplified	廂	
厣	U+53A3	simplified	厴	
厦	U+53A6	simplified	廈	
厨	U+53A8	simplified	廚	
厩	U+53A9	simplified	廄	
厮	U+53AE	simplified	廝	
县	U+53BF	simplified	縣	
叁	U+53C1	simplified	叄	
参	U+53C2	simplified	參	
双	U+53CC	simplified	雙	
发	U+53D1	simplified	發髮	
变	U+53D8	simplified	變	
叙	U+53D9	simplified	敘	
叠	U+53E0	simplified	疊	
只	U+53EA	simplified	戠衹隻	
台	U+53F0	simplified	檯臺颱	
叶	U+53F6	simplified	葉	
号	U+53F7	simplified	號	
叹	U+53F9	simplified	嘆	
叽	U+53FD	simplified	嘰	
吁	U+5401	simplified	籲	
合	U+5408	simplified	閤	
同	U+540C	simplified	衕	
后	U+540E	simplified	後	
向	U+5411	simplified	嚮曏	
吓	U+5413	simplified	嚇	
吕	U+5415	simplified	呂	
吗	U+5417	simplified	嗎	
吣	U+5423	simplified	唚	
吨	U+5428	simplified	噸	
听	U+542C	simplified	聽	
启	U+542F	simplified	啓啟	
吴	U+5434	simplified	吳	
呐	U+5450	simplified	吶	
呒	U+5452	simplified	嘸	
呓	U+5453	simplified	囈	
呕	U+5455	simplified	嘔	
呖	U+5456	simplified	嚦	
呗	U+5457	simplified	唄	
员	U+5458	simplified	員	
呙	U+5459	simplified	咼	
呛	U+545B	simplified	嗆	
呜	U+545C	simplified	嗚	
咏	U+548F	simplified	詠	
咙	U+5499	simplified	嚨	
咛	U+549B	simplified	嚀	
咝	U+549D	simplified	噝	
咤	U+54A4	simplified	吒	
咸	U+54B8	simplified	鹹	
响	U+54CD	simplified	響	
哑	U+54D1	simplified	啞	
哒	U+54D2	simplified	噠	
哓	U+54D3	simplified	嘵	
哔	U+54D4	simplified	嗶	
哕	U+54D5	simplified	噦	
哗	U+54D7	simplified	嘩	
哙	U+54D9	simplified	噲	
哜	U+54DC	simplified	嚌	
哝	U+54DD	simplified	噥	
哟	U+54DF	simplified	喲	
唛	U+551B	simplified	嘜	
唝	U+551D	simplified	嗊	
唠	U+5520	simplified	嘮	
唢	U+5522	simplified	嗩	
唤	U+5524	simplified	喚	
啧	U+5567	simplified	嘖	
啬	U+556C	simplified	嗇	
啭	U+556D	simplified	囀	
啮	U+556E	simplified	嚙	
啰	U+5570	simplified	囉	
啴	U+5574	simplified	嘽	
啸	U+5578	simplified	嘯	
喷	U+55B7	simplified	噴	
喽	U+55BD	simplified	嘍	
喾	U+55BE	simplified	嚳	
嗫	U+55EB	simplified	囁	
嗳	U+55F3	simplified	噯	
嘘	U+5618	simplified	噓	
嘤	U+5624	simplified	嚶	
嘱	U+5631	simplified	囑	
噜	U+565C	simplified	嚕	
嚣	U+56A3	simplified	囂	
回	U+56DE	simplified	迴	
团	U+56E2	simplified	團糰	
园	U+56ED	simplified	園	
困	U+56F0	simplified	睏	
囱	U+56F1	simplified	囪	
围	U+56F4	simplified	圍	
囵	U+56F5	simplified	圇	
国	U+56FD	simplified	國	
图	U+56FE	simplified	圖	
圆	U+5706	simplified	圓	
圣	U+5723	simplified	聖	
圹	U+5739	simplified	壙	
场	U+573A	simplified	場	
坂	U+5742	simplified	阪	
坏	U+574F	simplified	壞	
块	U+5757	simplified	塊	
坚	U+575A	simplified	堅	
坛	U+575B	simplified	壇罈罎	
坜	U+575C	simplified	壢	
坝	U+575D	simplified	垻壩	
坞	U+575E	simplified	塢	
坟	U+575F	simplified	墳	
坠	U+5760	simplified	墜	
垄	U+5784	simplified	壟	
垅	U+5785	simplified	壠	
垆	U+5786	simplified	壚	
垒	U+5792	simplified	壘	
垦	U+57A6	simplified	墾	
垩	U+57A9	simplified	堊	
垫	U+57AB	simplified	墊	
垭	U+57AD	simplified	埡	
垯	U+57AF	simplified	墶	
垲	U+57B2	simplified	塏	
垴	U+57B4	simplified	堖	
埘	U+57D8	simplified	塒	
埙	U+57D9	simplified	塤	
埚	U+57DA	simplified	堝	
埯	U+57EF	simplified	垵	
堑	U+5811	simplified	塹	
堕	U+5815	simplified	墮	
墙	U+5899	simplified	墻牆	
壮	U+58EE	simplified	壯	
声	U+58F0	simplified	聲	
壳	U+58F3	simplified	殻殼	
壶	U+58F6	simplified	壺	
处	U+5904	simplified	處	
备	U+5907	simplified	備	
复	U+590D	simplified	復複覆	
够	U+591F	simplified	夠	
头	U+5934	simplified	頭	
夸	U+5938	simplified	誇	
夹	U+5939	simplified	夾	
夺	U+593A	simplified	奪	
奁	U+5941	simplified	奩	
奂	U+5942	simplified	奐	
奋	U+594B	simplified	奮	
奖	U+5956	simplified	奬獎	
奥	U+5965	simplified	奧	
奸	U+5978	simplified	姦	
妆	U+5986	simplified	妝	
妇	U+5987	simplified	婦	
妈	U+5988	simplified	媽	
妩	U+59A9	simplified	嫵	
妪	U+59AA	simplified	嫗	
妫	U+59AB	simplified	媯嬀	
姗	U+59D7	simplified	姍	
姜	U+59DC	simplified	薑	
姹	U+59F9	simplified	奼	
娄	U+5A04	simplified	婁	
娅	U+5A05	simplified	婭	
娆	U+5A06	simplified	嬈	
娇	U+5A07	simplified	嬌	
娈	U+5A08	simplified	孌	
娱	U+5A31	simplified	娛	
娲	U+5A32	simplified	媧	
娴	U+5A34	simplified	嫻	
婴	U+5A74	simplified	嬰	
婵	U+5A75	simplified	嬋	
婶	U+5A76	simplified	嬸	
媪	U+5AAA	simplified	媼	
嫒	U+5AD2	simplified	嬡	
嫔	U+5AD4	simplified	嬪	
嫱	U+5AF1	simplified	嬙	
嬷	U+5B37	simplified	嬤	
孙	U+5B59	simplified	孫	
学	U+5B66	simplified	學	
孪	U+5B6A	simplified	孿	
宁	U+5B81	simplified	寧	
宝	U+5B9D	simplified	寶	
实	U+5B9E	simplified	實	
宠	U+5BA0	simplified	寵	
审	U+5BA1	simplified	審	
宪	U+5BAA	simplified	憲	
宫	U+5BAB	simplified	宮	
家	U+5BB6	simplified	傢	
宽	U+5BBD	simplified	寬	
宾	U+5BBE	simplified	賓	
寝	U+5BDD	simplified	寢	
对	U+5BF9	simplified	對	
寻	U+5BFB	simplified	尋	
导	U+5BFC	simplified	導	
寿	U+5BFF	simplified	壽	
将	U+5C06	simplified	將	
尔	U+5C14	simplified	爾	
尘	U+5C18	simplified	塵	
尝	U+5C1D	simplified	嘗	
尧	U+5C27	simplified	堯	
尴	U+5C34	simplified	尷	
尸	U+5C38	simplified	屍	
尽	U+5C3D	simplified	儘盡	
层	U+5C42	simplified	層	
屃	U+5C43	simplified	屓	
屉	U+5C49	simplified	屜	
届	U+5C4A	simplified	屆	
属	U+5C5E	simplified	屬	
屡	U+5C61	simplified	屢	
屦	U+5C66	simplified	屨	
屿	U+5C7F	simplified	嶼	
岁	U+5C81	simplified	歲	
岂	U+5C82	simplified	豈	
岖	U+5C96	simplified	嶇	
岗	U+5C97	simplified	崗	
岘	U+5C98	simplified	峴	
岙	U+5C99	simplified	嶴	
岚	U+5C9A	simplified	嵐	
岛	U+5C9B	simplified	島	
